Model,Best Params,MSE,MAE,R^2,Category,min_reviews
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.0126242058931875,0.0760705646462781,0.435136584326502,"('accurate', 'review_scores_accuracy')",20
Ridge,"{'alpha': 0.1, 'solver': 'saga'}",0.0251410256911846,0.119821741388288,0.416215412691691,"('clean', 'review_scores_cleanliness')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.02613608774815,0.121873471617534,0.393109677094142,"('clean', 'review_scores_cleanliness')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.0256788613407325,0.120612392326959,0.403726655607247,"('clean', 'review_scores_cleanliness')",20
Ridge,"{'alpha': 0.0001, 'solver': 'saga'}",0.0132441955418687,0.0707541624198357,0.423719273377316,"('checkin', 'review_scores_checkin')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.0133031225008828,0.0702024464040899,0.421155246694763,"('checkin', 'review_scores_checkin')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.0131777698162392,0.0701674736351378,0.426609585990957,"('checkin', 'review_scores_checkin')",20
Ridge,"{'alpha': 0.1, 'solver': 'svd'}",0.0071840544408336,0.0601086949986033,0.557565461073808,"('communication', 'review_scores_communication')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.0079317582415111,0.0616425390874512,0.511517649349859,"('communication', 'review_scores_communication')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.00797792912923796,0.0610141565697353,0.508674186011505,"('communication', 'review_scores_communication')",20
Ridge,"{'alpha': 1, 'solver': 'sag'}",0.0204054502682905,0.115825327454947,0.0996366425047385,"('location', 'review_scores_location')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.0214934799189303,0.117331600049176,0.0516287810547652,"('location', 'review_scores_location')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.020369641091304,0.115425794945146,0.101216674819478,"('location', 'review_scores_location')",20
Ridge,"{'alpha': 0.1, 'solver': 'saga'}",0.0175725089182218,0.0974123457908721,0.492020133082787,"('value', 'review_scores_value')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.015849351109277,0.0932561280738707,0.541832569004073,"('value', 'review_scores_value')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.0156999033104574,0.093571195630431,0.546152753065936,"('value', 'review_scores_value')",20
